02/23/2019 23:08:15 - 1063	M	949,-1,prt_fild06
02/23/2019 23:08:15 - 1063	M	2262,-1,prt_fild06
02/23/2019 23:08:15 - 1063	M	512,-1,prt_fild06
02/23/2019 23:08:15 - 1063	M	515,-1,prt_fild06
02/23/2019 23:08:15 - 1063	M	622,-1,prt_fild06
02/23/2019 23:08:15 - 1063	M	4006,-1,prt_fild06
02/23/2019 23:08:17 - 150004	P	4006,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:18 - 1002	L	949,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:18 - 1002	L	2262,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	L	512,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 150004	P	622,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	L	515,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	L	705,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	M	909,-1,prt_fild06
02/23/2019 23:08:19 - 1002	M	1202,-1,prt_fild06
02/23/2019 23:08:19 - 1002	M	938,-1,prt_fild06
02/23/2019 23:08:19 - 1002	M	512,-1,prt_fild06
02/23/2019 23:08:19 - 1002	M	713,-1,prt_fild06
02/23/2019 23:08:19 - 1002	M	619,-1,prt_fild06
02/23/2019 23:08:19 - 1002	M	4001,-1,prt_fild06
02/23/2019 23:08:19 - 1002	L	949,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	L	2262,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	L	512,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	L	515,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:19 - 1002	L	705,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:21 - 150004	P	4001,1,0,0,0,0,0,prt_fild06
02/23/2019 23:08:24 - 1063	M	705,-1,prt_fild06
02/23/2019 23:08:24 - 1063	M	949,-1,prt_fild06
02/23/2019 23:08:24 - 1063	M	2262,-1,prt_fild06
02/23/2019 23:08:24 - 1063	M	512,-1,prt_fild06
02/23/2019 23:08:24 - 1063	M	515,-1,prt_fild06
02/23/2019 23:08:24 - 1063	M	622,-1,prt_fild06
